Datetime,Net demand_t-3,Net demand_t-12,Net demand_t-13,Net demand_t-15,Net demand_t-16,Net demand_t-17,Net demand_t-18,Net demand_t-19,Net demand_t-20,Net demand_t-21,Net demand_t-22,Net demand_t-23,Net demand_t-24,last_24h_mean_t-12,last_24h_mean_t-13,last_24h_mean_t-14,last_24h_mean_t-19,last_24h_mean_t-22,last_24h_mean_t-23,last_24h_mean_t-24,last_week_mean_t-22,last_week_mean_t-23,last_week_mean_t-24,is_weekend_0.0,is_weekend_1.0
2018-04-11,19968.0,14372.0,14715.0,16070.0,16503.0,17728.0,19844.0,23491.0,26476.0,27858.0,25881.0,23654.0,20604.0,,,,,,,19845.416666666668,,,,1,0
2018-04-12,16088.0,18474.18274111675,18409.55329949238,18280.29441624365,18215.66497461929,18151.035532994923,18086.406091370558,18021.7766497462,17957.147208121827,17892.517766497458,17827.888324873096,17763.25888324873,17698.62944162436,19181.021150592216,19334.9608714044,19474.249365482232,19354.21510152284,18248.488155668358,18003.04060913705,17881.983502538067,,,,1,0
2018-04-13,16088.0,11272.0,9901.0,10397.0,10632.0,11669.0,13397.0,17803.0,22684.0,24788.0,24579.0,22991.0,20788.0,17076.58735194586,16722.064297800338,16362.150803722505,15243.101734348564,16008.662013536381,16226.484560067684,16355.208333333336,,,,1,0
2018-04-14,17386.0,11112.0,10748.0,10796.0,11691.0,13041.0,14650.0,19255.0,24066.0,25948.0,25720.0,24597.0,23128.0,16896.0,16931.291666666668,16968.208333333332,17198.833333333332,17352.291666666668,17419.208333333332,17516.708333333332,,,,0,1
2018-04-15,19293.0,9270.0,9131.0,9495.0,10147.0,11322.0,13260.0,17412.0,22755.0,24241.0,23550.0,22125.0,20518.0,17286.125,17218.75,17167.0,16842.125,16625.958333333332,16522.958333333332,16414.208333333332,,,,0,1
2018-04-16,16883.0,8704.0,8985.0,9034.0,11369.0,12171.0,14797.0,17873.0,21208.0,23261.0,22927.0,21756.0,19897.0,15673.0,15666.916666666664,15629.916666666664,15780.25,15649.0,15633.625,15607.75,,,,1,0
2018-04-17,15900.0,14076.0,13066.0,12843.0,13898.0,13793.0,15325.0,17791.0,21013.0,23804.0,24468.0,23266.0,21456.0,16414.75,16584.791666666668,16745.875,17096.125,17174.833333333332,17237.75,17302.708333333332,,,17274.854786076867,1,0
2018-04-18,18282.0,12100.0,12426.0,11541.0,11496.0,13363.0,15642.0,17456.0,23406.0,25569.0,25249.0,24290.0,22250.0,17489.083333333332,17462.416666666668,17428.666666666668,17255.666666666668,17461.458333333332,17504.125,17537.208333333332,16931.527405124485,16935.3131194102,16945.110738457814,1,0
2018-04-19,20014.0,14259.0,13550.0,13006.0,13290.0,13566.0,14747.0,18568.0,23121.0,25586.0,25208.0,24069.0,21539.0,18529.541666666668,18576.375,18640.70833333333,18794.0,18781.125,18771.916666666668,18742.291666666668,17007.61838288615,17045.152556200144,17068.011904761905,1,0
2018-04-20,17358.0,11535.0,11209.0,11216.0,9925.0,11526.0,14111.0,17408.0,20768.0,22627.0,22759.0,20809.0,18824.0,17483.916666666668,17386.375,17303.875,16929.25,16605.875,16470.041666666668,16356.916666666664,17092.934523809523,17079.946428571428,17068.255952380954,1,0
2018-04-21,15855.0,11470.0,10658.0,10651.0,10944.0,11407.0,12533.0,15334.0,20936.0,22474.0,22348.0,21291.0,19547.0,15788.5,15765.541666666664,15745.916666666664,15607.708333333336,15591.208333333336,15611.291666666664,15641.416666666664,16841.35119047619,16821.67261904762,16800.35714285714,0,1
2018-04-22,17528.0,10154.0,9620.0,10654.0,11857.0,13470.0,15286.0,19258.0,22660.0,24135.0,23621.0,22137.0,20224.0,15775.208333333336,15731.958333333336,15705.0,16107.333333333336,16301.416666666664,16336.666666666664,16364.875,16794.988095238095,16795.059523809523,16793.309523809523,0,1
